"id","order_num","text","test_id"
"1",1,"Какой площадью допускаются не склеенные участки на картоне","1"
"2",2,"Допуск для зазора в стыке клапанов ящика из 3-х слойного гофрокартона","1"
"3",3,"Допуск для зазора в стыке клапанов ящика из 5-х слойного гофрокартона","1"
"4",4,"Допуск ширины зазора по клеевому соединению ящика из 3-х слойного гофрокартона","1"
"5",5,"Допуск ширины зазора по клеевому соединению ящика из 5-х слойного гофрокартона","1"
"6",6,"Какой площадью допускаются задиры","1"
"7",7,"Высота ящика 210 мм, какая допустимая длина одной трещины на внешнем плоском слое по линии сгиба?","1"
"8",8,"Допустимое количество непропечаток в виде точек при полной запечатке","1"
"9",9,"Допустимое смещение печати относительно заданного в чертеже","1"
"10",10,"Какие основные ГОСТ устанавливают требования к нашей продукции","1"
"11",11,"Какое значение показателя сопротивления торцевому сжатию вдоль гофров 3-хслойного ГК марки Т-24","1"
"12",12,"Какое значение показателя сопротивления торцевому сжатию вдоль гофров 5-хслойного ГК марки П-32","1"
